city_name,count,mean,min,max,std
Alaminos,4028,27.327827706057597,23.3,31.2,1.2284030884081292
Angeles City,4028,26.382490069513405,21.2,32.25,1.69026580493548
Antipolo,4028,25.942072989076465,20.72,32.37,1.7057520234105066
Bacolod,4028,26.998490566037734,22.66,30.54,1.144590414491576
Bacoor,4028,27.804960278053624,22.4,32.5,1.4932032000979816
Bago City,4028,26.88014895729891,22.8,31.4,1.1398366076261996
Baguio,4028,18.345201092353527,11.9,24.36,1.4479784369218716
Bais,4028,26.656266137040717,23.1,30.15,0.996324664217796
Balanga,4028,26.984004468718968,22.7,30.78,1.3103004949693227
Batac City,4028,26.354361966236343,20.0,32.88,1.6713584746533057
Batangas City,4028,26.688155412115194,21.9,30.73,1.3387203540768573
Bayawan,4028,26.9897591857001,23.4,31.01,1.0635832845298885
Baybay,4028,26.59940665342602,22.2,30.3,1.171353344230682
Bayugan,4028,25.734766633565044,20.87,32.91,1.291376594558423
Bislig,4028,26.442008440913607,22.8,30.19,1.0145002417103404
Biñan,376,26.959335106382976,23.34,31.72,1.6490741918030614
Bogo,4028,27.3241137040715,23.6,30.69,1.0472309954662808
Borongan,4028,26.46009930486594,22.8,29.9,1.0565688855219046
Butuan,4028,26.415739821251243,22.13,32.05,1.2871882774548769
Cabadbaran,4028,27.230836643495532,22.26,31.32,1.2333476121451958
Cabanatuan City,4028,26.42178997020854,21.4,31.87,1.681481012208106
Cabuyao,4028,26.784632571996028,21.4,31.66,1.400798785585277
Cadiz,4028,26.807420556107246,22.8,30.3,1.0413800154709514
Cagayan de Oro,4028,27.634525819265143,22.17,32.17,1.2280514660860402
Calaca,4028,27.13630585898709,22.72,31.77,1.3046723765859423
Calamba,4028,27.563577457795432,22.3,32.4,1.5169066052585496
Calapan,4028,26.217996524329692,21.6,30.2,1.3392895436521999
Calbayog City,4028,26.741544190665344,22.75,31.76,1.125928802377993
Caloocan City,4028,26.998954816285995,21.9,32.74,1.5292926492001349
Candon,4028,26.285893743793448,21.6,31.13,1.2935652173634171
Canlaon,4028,24.0154865938431,19.5,28.58,1.2232221781887473
Carcar,4028,26.972596822244288,23.3,30.5,1.0129773091560303
Carmona,4028,26.63357994041708,21.3,31.59,1.3901155530643592
Catbalogan,4028,26.943666832174777,22.95,31.73,1.1298606928387038
Cauayan,4028,25.546829692154915,18.0,31.7,2.3723723124056
Cavite City,4028,27.784826216484607,22.4,32.5,1.4512162319457456
Cebu City,4028,27.84195134061569,23.0,32.5,1.3073244848855998
City of Marikina,4028,26.751104766633564,21.6,32.49,1.5085892303908555
City of Masbate,4028,26.805926017874878,22.7,30.42,1.1112783045058479
City of Passi,4028,26.05228897715988,21.3,30.31,1.1987808035071954
City of Sorsogon,4028,26.413053624627608,22.31,29.61,1.0817567085362314
Cotabato,4028,26.737859980139028,21.76,32.2,1.0098000245850882
Dagupan,4028,25.328537735849057,17.7,32.0,2.3023981563235028
Danao,4028,27.139342105263157,23.3,32.03,0.9768068212669987
Dapitan,4028,28.075134061569017,23.2,32.7,1.2961572043113554
Dasmariñas,4028,26.574863455809336,21.6,31.22,1.4016409398580807
Davao,4028,26.636720456802387,23.7,34.05,0.9761464930894257
Digos,4028,26.95703574975174,22.4,31.91,1.0964148867498902
Dipolog,4028,26.563572492552137,23.4,30.62,0.8945085191849889
Dumaguete,4028,26.84432224428997,23.8,31.99,0.9703890671148845
El Salvador,4028,27.775585898709036,22.2,32.2,1.1790628070104503
Escalante,4028,26.777671300893747,22.6,30.4,1.129872101251104
Gapan,4028,26.430553624627606,21.4,32.3,1.7086701202079206
General Santos,4028,26.450705064548163,22.27,33.88,1.2183401081900083
General Trias,4028,26.914471201588878,21.4,31.63,1.4423164615237392
Gingoog City,4028,26.55550397219464,22.3,32.95,1.2454620361020052
Himamaylan,4028,26.809205561072492,22.7,31.5,1.2274705081881465
Ilagan,4028,25.65286991062562,18.3,31.9,2.3191572705298564
Iligan City,4028,24.5445183714002,19.54,30.75,1.0169655420624464
Iloilo City,4028,26.602408142999007,22.5,30.9,1.2151624487121495
Imus,4028,27.057383316782524,21.5,31.98,1.4633103512404364
Iriga City,4028,26.483488083416088,22.3,32.18,1.3802207649240323
Isabela,4028,26.815139026812314,22.0,31.97,1.3158916378709091
Kabankalan,4028,26.635849056603774,22.4,31.6,1.2039358924102292
Kidapawan,4028,25.43085650446872,20.87,30.33,1.132632445470856
Koronadal,4028,26.196859483614695,21.7,34.14,1.350989481163336
La Carlota,4028,26.631914101290963,21.8,31.53,1.206689361792292
Lamitan,4028,26.433699106256206,24.1,28.69,0.7143758979661389
Laoag,4028,26.450201092353527,20.1,31.95,1.663505020683852
Lapu-Lapu City,4028,28.066437437934457,23.2,32.7,1.3024893528689
Las Piñas,4028,27.737780536246277,22.3,32.5,1.4938301848954225
Legazpi City,4028,26.52245034756703,22.18,30.95,1.194137188225596
Ligao,4028,26.45514150943396,22.3,32.68,1.377175685225407
Lipa City,4028,24.809726911618668,19.98,30.21,1.5531277109486903
Lucena,4028,26.517576961271104,21.9,30.49,1.2902944756553179
Maasin,4028,27.387313803376365,21.74,31.22,1.3116359476011714
Mabalacat City,4028,26.1180635551142,21.0,32.21,1.7100568808714285
Makati City,4028,26.89461022840119,21.6,32.23,1.4894521026016618
Malabon,4028,27.234553128103276,22.4,33.03,1.5912818802014337
Malaybalay,4028,22.00369414101291,17.32,29.8,1.0909845045956736
Malolos,4028,27.17983366434955,22.4,32.86,1.4568990193417677
Mandaluyong City,4028,26.858505461767628,21.6,32.44,1.488334641699104
Mandaue City,4028,28.027735849056604,23.1,32.7,1.3076734763581639
Manila,4028,26.949317279046674,21.7,32.55,1.4879727087053192
Marawi,4028,22.600680238331677,17.05,28.8,0.9653529491336513
Mati,4028,26.83858242303873,23.27,30.7,0.9007145861704098
Meycauayan,4028,26.996074975173784,21.9,33.02,1.5101649656020586
Muñoz,4028,26.19568023833168,20.7,32.27,1.7086011568306854
Naga,4028,26.47484359483615,23.62,31.31,0.9056028729869084
Navotas,4028,26.652125124131082,21.5,32.79,1.4208055480949
Olongapo,4028,27.40495034756703,23.03,33.03,1.2990860658262842
Ormoc,4028,26.872254220456803,23.1,32.3,1.1463713204239718
Oroquieta,4028,26.592631578947366,23.43,30.29,0.930095560409368
Ozamiz City,4028,26.570898709036744,23.1,31.74,1.0307349506702526
